name,ID,award,year,lgID,note
"Donald Clark",NULL,Patrick,1974,NHL,NULL
"Ed Jeremiah",jeremed01,Patrick,1968,NHL,posthumous
"Ed Snider",snideed01h,Patrick,1979,NHL,NULL
"Eddie Shore",shoreed01,Patrick,1969,NHL,NULL
"Emile Francis",francem01,Patrick,1981,NHL,NULL
"Frank Boucher",bouchfr01,Patrick,1992,NHL,NULL
"Frank Mathers",mathefr01,Patrick,1986,NHL,NULL
"Fred Cusick",NULL,Patrick,1987,NHL,NULL
"Fred Shero",sherofr01,Patrick,1979,NHL,NULL
"Gary Bettman",NULL,Patrick,2000,NHL,NULL
"George Gund",NULL,Patrick,1995,NHL,NULL
"George Leader",NULL,Patrick,1975,NHL,NULL
"Gil Stein",NULL,Patrick,1992,NHL,NULL
"Glen Sonmor",sonmogl01,Patrick,2005,NHL,NULL
"Gordie Howe",howego01,Patrick,1966,NHL,NULL
"Harry Sinden",sindeha01c,Patrick,1998,NHL,NULL
"Herb Brooks",brookhe01c,Patrick,2001,NHL,NULL
"Hoby Baker",bakerho01h,Patrick,1986,NHL,posthumous
"Jack Adams",adamsja01,Patrick,1965,NHL,NULL
"Jack Butterfield",butteja01h,Patrick,1984,NHL,NULL
"Jack Parker",NULL,Patrick,2009,NHL,NULL
"Jack Riley",rileyja01,Patrick,1985,NHL,NULL
"James D. Norris",norrija03h,Patrick,1971,NHL,posthumous
"James Norris",norrija02h,Patrick,1966,NHL,posthumous
"Jeff Sauer",NULL,Patrick,2010,NHL,NULL
"Jerry York",NULL,Patrick,2009,NHL,NULL
"Jim Devellano",NULL,Patrick,2008,NHL,NULL
"Jim Hendy",hendyji01h,Patrick,1969,NHL,posthumous
"Joe Mullen",mullejo01,Patrick,1994,NHL,NULL
"John A. 'Snooks' Kelly",NULL,Patrick,1971,NHL,NULL
"John B. Sollenberger",NULL,Patrick,1970,NHL,posthumous
"John Bucyk",bucykjo01,Patrick,1976,NHL,NULL
"John Davidson",davidjo01,Patrick,2003,NHL,NULL
"John Halligan",NULL,Patrick,2006,NHL,NULL
"John Kilpatrick",kilpajo01h,Patrick,1967,NHL,posthumous
"John MacInnes",NULL,Patrick,1985,NHL,NULL
"John Mariucci",mariujo01,Patrick,1976,NHL,NULL
"John Mayasich",NULL,Patrick,1997,NHL,NULL
"John Ziegler",ziegljo01h,Patrick,1983,NHL,NULL
"Keith Allen",allenke01,Patrick,1987,NHL,NULL
"Ken Morrow",morroke01,Patrick,1995,NHL,NULL
"Larry Pleau",pleaula01,Patrick,2001,NHL,NULL
"Len Ceglarski",NULL,Patrick,1989,NHL,NULL
"Lou Lamoriello",lamorlo01c,Patrick,1991,NHL,NULL
"Lou Nanne",nannelo01,Patrick,1988,NHL,NULL
"Lou Vairo",NULL,Patrick,1999,NHL,NULL
"Lynn Patrick",patrily01,Patrick,1988,NHL,posthumous
"Marcel Dionne",dionnma01,Patrick,2005,NHL,NULL
"Mario Lemieux",lemiema01,Patrick,1999,NHL,NULL
"Mark Johnson",johnsma02,Patrick,2010,NHL,NULL
"Mark Messier",messima01,Patrick,2008,NHL,NULL
"Max McNab",mcnabma01,Patrick,1997,NHL,NULL
"Mike Emrick",NULL,Patrick,2003,NHL,NULL
"Mike Ilitch",ilitcmi01h,Patrick,1990,NHL,NULL
"Mike Richter",richtmi01,Patrick,2008,NHL,NULL
"Milt Schmidt",schmimi01,Patrick,1995,NHL,NULL
"Murray Armstrong",armstmu01,Patrick,1976,NHL,NULL
"Murray Murdoch",murdomu01,Patrick,1973,NHL,NULL
"Neal Broten",brotene01,Patrick,1997,NHL,NULL
"Pat LaFontaine",lafonpa01,Patrick,1996,NHL,NULL
"Peter Karmanos",NULL,Patrick,1997,NHL,NULL
"Phil Esposito",esposph01,Patrick,1977,NHL,NULL
"Phil Housley",houslph01,Patrick,2007,NHL,NULL
"Ray Miron",NULL,Patrick,2003,NHL,NULL
"Raymond Bourque",bourqra01,Patrick,2002,NHL,NULL
"Red Berenson",berenre01,Patrick,2005,NHL,NULL
"Red Dutton",duttore01,Patrick,1992,NHL,NULL
"Reed Larson",larsore01,Patrick,2005,NHL,NULL
"Robert Ridder",NULL,Patrick,1993,NHL,NULL
"Rod Gilbert",gilbero01,Patrick,1990,NHL,NULL
"Ron DeGregorio",NULL,Patrick,2002,NHL,NULL
"Scotty Bowman",bowmasc01c,Patrick,2000,NHL,NULL
"Seymour H. Knox III",NULL,Patrick,1996,NHL,posthumous
"Stan Fischler",NULL,Patrick,2006,NHL,NULL
"Stan Mikita",mikitst01,Patrick,1975,NHL,NULL
"Steve Yzerman",yzermst01,Patrick,2005,NHL,NULL
"Ted Lindsay",lindste01,Patrick,2007,NHL,NULL
"Terry Sawchuk",sawchte01,Patrick,1970,NHL,posthumous
"Thomas Lockhart",lockhth01h,Patrick,1967,NHL,NULL
"Tom Fitzgerald",NULL,Patrick,1977,NHL,NULL
"Tommy Ivan",ivanto01c,Patrick,1974,NHL,NULL
"Tony Rossi",NULL,Patrick,2010,NHL,NULL
"Walter Brown",brownwa02h,Patrick,1967,NHL,posthumous
"Walter Bush",bushwa01h,Patrick,1972,NHL,NULL
"Wayne Gretzky",gretzwa01,Patrick,1993,NHL,NULL
"Weston Adams",adamswe01h,Patrick,1973,NHL,posthumous
"William Jennings",jenniwi01h,Patrick,1970,NHL,NULL
"William Tutt",tuttwi01h,Patrick,1977,NHL,NULL
"William Wirtz",wirtzwi01h,Patrick,1977,NHL,NULL
"Willie O'Ree",oreewi01,Patrick,2002,NHL,NULL
